Aafke
Aagje
Aaisey
Aaltje
Abby
Ada
Adagonda
Adelheid
Adeline
Adelmund
Adoree
Adriënne
Adèle
Aemke
Afelien
Afra
Aga
Agaat
Ageeth
Aggy
Aiko
Aily
Aimy
Aimée
Ainoa
Airlie
Aisha
Aiva
Akelei
Akke
Akkelyn
Alaia
Alana
Alaska
Alba
Albertine
Aleid
Aleida
Aletta
Alexa
Alice
Alie
Alieke
Alies
Alivia
Alix
Alky
Ally
Alma
Alouette
Alyna
Alyssa
Amalia
Amanda
Amandine
Amaury
Amber
Amberly
Amelia
Amely
Amira
Amra
Amy
Amy-Linn
Amélie
Ana
Anaïs
Andrea
Andrieske
Andrée
Anemoon
Angrée
Anic
Aniek
Anje
Anke
Ankie
Ankje
Ann
Anna
Annabel
Annalies
Anne
Anne-Lieke
Anne-Lou
Anne-marie
Anne-marije
Annebel
Annechien
Annefleur
Annejet
Annelien
Annelies
Annelijn
Anneloes
Annelotte
Annemarieke
Annemarije
Annemarijn
Annemiek
Annemieke
Annemijn
Annerieke
Anneska
Annetje
Annick
Anny
Anoek
Anouk
Ans
Antje
Aphrodite
April
Arenda
Arianna
Arieke
Arjenne
Arlette
Aspen
Aster
Astrid
Ata
Aty
Aukje
Aurelia
Aurora
Aurélie
Autumn
Ava
Avelin
Aven
Axelle
Aya
Ayla
Aylin
Ayska
Aïcha
Aïda
Babbe
Babette
Babice
Babs
Baiba
Barbara
Bartina
Bartje
Baukelien
Bea
Beata
Beate
Beatrijs
Beau
Beaudine
Beertje
Belezza
Belia
Bella
Belle
Bente
Bep
Berbel
Berber
Berdien
Bernadette
Bernice
Bernou
Beryl
Bess
Beth
Betsie
Betsy
Bettelien
Bettine
Betty-Sue
Bianca
Bibelotte
Bibi
Bibian
Bila
Billy
Birger
Birgit
Birte
Birthe
Blizz
Bloem
Blossom
Bo
Bobbie
Bobby
Bodil
Bodine
Bonita
Bowi
Bracha
Bre
Brechje
Brechtje
Breeze
Bregje
Bregtje
Brisa
Britt
Britte
Brooklyn
Brynn
Camille
Cara
Carice
Carine
Carlijn
Carlijne
Carlotta
Carly
Carmen
Caro
Carolien
Carolijn
Carys
Casja
Catelijn
Catelijne
Cathalijne
Catharijne
Cathelijn
Cathelijne
Cathleen
Cato
Catootje
