Aad
Aaite
Aalke
Aalse
Aam
Aaren
Aarjen
Aarnoud
Aaron
Aart
Aayan
Ab
Abe
Abel
Abeltje
Acco
Ace
Achiel
Ad
Adam
Adel
Adelphe
Adin
Adino
Adis
Adje
Adnan
Adri
Adriaan
Adse
Aebe
Aedan
Aeiko
Aernout
Ahron
Aico
Aiden
Aiko
Ajay
Ake
Alain
Albart
Albert-jan
Alberto
Alco
Alec
Alef
Alek
Alessandro
Alessio
Alex
Alger
Alie
Alistair
Alix
Alje
Aljen
Alko
Allard
Aloin
Alouis
Aloys
Alvairo
Alwin
Amadeo
Amand
Amaro
Ambrosius
Amco
Amel
Amo
Amos
Amze
Anand
Anatole
Anco
Anderson
Andreas
Andries
Angus
Anil
Anko
Anne
Anno
Antonie
Antoon
Apollo
Ard-jan
Ardjan
Arend-jan
Ariaan
Arie
Arien
Aris
Arjan
Arvid
Arwen
Aspen
Audric
Aue
August
Aurelio
Austijn
Austin
Avalon
Axe
Axel
Axl
Ayden/Aydin
Aylan
Aziz
Babel
Baeke
Barack
Barend
Baris
Barre
Bart
Bart-jan
Barteld
Bartho
Bartholomeus
Bartjan
Bartje
Baruch
Bas
Bas-jan
Basil
Basten
Bastiaan
Bastijn
Bastin
Bauke
Bauwe
Bavo
Baz
Beake
Beau
Beaudean
Beaujay
Beckett
Beer
Bein/Beine
Beinte
Bele
Ben
Benck
Bendert
Benedikt
Benja
Benjamin
Benne
Bennett
Benno
Benoît
Benso
Bent
Bentley
Benyamin
Benz
Benzo
Ber
Berbel
Berber
Berend
Berend-jan
Berg
Berger
Bernard
Bernd
Berre
Bert-jan
Bertan
Bertil
Bertjan
Berto
Bertold
Bertrand
Bertus
Bessel
Bhodi
Biek
Bijn
Bikkel
Binck
Bing
Bink
Binno
Binte
Birgir
Bjarne
Bjorn
Bjorre
Blake
Bo
Boaike
Boan
Boas
Boaz
Bob
Bobbie/Bobby
Bodhi
Bodil
Boele
Boelie
Boet
Bogdan
Boi
Boike
Boje
Bonard
Bond
Bonifaas
Bonne/Bonno
Bono
Bor
Borg
Boris
Borre
Bosko
Boss
Boston
Bouco
Boudewijn
Bouke
Bouwe
Bowe
Bowi
Boy
Boyd
Boyen
Boyke
Boz
Brad
Bradley
Bram
Branco
Brandon
Brant
Brecht
Brekke
Brendon
Breno
Brent
Briek
Brooklyn
Bruce
Bruno
Brutus
Bruun
Bryan
Bryson
Bucco
Burre
Buster
Byron
Caiden
Cailan
Cain
Cairo
Caja
Caleb
Caleph
Calix
Callan
Callem
Calvijn
Calvin
Camden
Cameron
Camiel
Camillo
Carel
Carl
Carlo
Carolus
Carst
Carsten
Carter
Cas
